Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,imagenPortadaEjercicio,Musculos,Ejercicio ID,Link Webhook,Reps_Unicas,Carga unica
Curl Nórdico Asistido (con liga),Pino,Barra baja + Banda,Arrodíllate con los pies anclados bajo la barra baja. Ata una liga a la barra y sujétala al pecho. Baja el torso lentamente hacia el suelo resistiendo la caída.,Baja lo más lento que puedas (5 segundos). La liga asiste la subida. Excelente para isquiotibiales.,4 series de 4-6 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/riIYCrxkmwlgYDbOyDK3.jpeg,"Isquiotibiales, Glúteos",EJ001,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Nórdico Asistido (con liga)&prevReps=&prevKgs=,,
Dominadas Australianas (en barra baja),Pino,Barra baja o barra de dominadas baja,Acuéstate debajo de la barra y sujétala con agarre prono. Cuerpo recto como tabla con los talones en el suelo. Tira del pecho hacia la barra y baja con control.,Aprieta los omóplatos al subir. Cuanto más horizontal esté tu cuerpo más difícil será.,4 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/DnMdwyshusSLuf1ATIxV.jpeg,"Espalda (Dorsales), Bíceps, Romboides",EJ002,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Dominadas Australianas (en barra baja)&prevReps=&prevKgs=,,
Elevación de Talones (de pie),Semilla,N/A,De pie con los pies a la anchura de la cadera. Sube elevando los talones lo más alto posible apretando las pantorrillas. Baja con control.,Haz una pausa de 2 segundos arriba para máxima contracción. Puedes apoyarte en la pared para equilibrio.,3 series de 15-20 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/N7EAWNGQgjOxvPxGOeIG.png,Pantorrillas (Gemelos y Sóleo),EJ003,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones (de pie)&prevReps=20-20-20&prevKgs=0-0-0,20-20-20,0-0-0
Elevación de Talones a Una Pierna,Semilla,Muro para equilibrio,De pie sobre una pierna apoyándote en la pared. Sube el talón lo más alto posible apretando la pantorrilla. Baja con control.,Haz pausa de 2 segundos arriba. Baja el talón completamente para rango completo.,3 series de 12-15 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/axgXKFykoIh7c0yj4WsS.png,Pantorrillas (Gemelos y Sóleo),EJ004,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones a Una Pierna&prevReps=&prevKgs=,,
Elevación de Talones con Pausa,Pino,N/A,De pie con los pies a la anchura de la cadera. Sube los talones apretando las pantorrillas. Mantén arriba 3 segundos y baja lento (3 segundos).,El tempo lento aumenta el tiempo bajo tensión. Puedes hacerlo en el borde de un escalón para más rango.,4 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/EW0zzYxKqeDaPohKiWgV.png,Pantorrillas (Gemelos y Sóleo),EJ005,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones con Pausa&prevReps=&prevKgs=,,
Escapula Push-ups,Semilla,Barras Paralelas bajas,"En posición de plancha, hunde y separa los omóplatos sin doblar los codos.","Imagina que quieres empujar el suelo lejos de ti para separar las ""alitas"" de la espalda.",3 series de 10-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/taJKRJqYYuHCaUyfzpUq.jpeg,"Serrato anterior, Trapecio, Romboides.",EJ006,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Escapula Push-ups&prevReps=1-1-1-1&prevKgs=0-0-0-0,1-1-1-1,0-0-0-0
Flexiones Archer Asistidas,Pino,N/A,En posición de flexión con las manos más abiertas que los hombros. Baja hacia un lado doblando un codo mientras el otro brazo se extiende. Empuja para subir y alterna.,El brazo extendido puede tener los dedos apoyados para asistencia. Baja el pecho hacia la mano que se flexiona.,4 series de 5-8 reps por lado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/HZbJXFjekWV7Z1Qm6nld.jpeg,"Pectorales, Tríceps, Deltoides",EJ007,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones Archer Asistidas&prevReps=&prevKgs=,,
Flexiones Diamante,Pino,N/A,Coloca las manos en el suelo formando un diamante con los pulgares e índices. Baja el pecho hasta las manos y empuja para subir manteniendo el cuerpo recto.,Mantén los codos pegados al cuerpo. Si es muy difícil hazlas en rodillas primero.,4 series de 6-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/9NCc4StYYg4nEPDvpawW.jpeg,"Tríceps, Pecho interior, Deltoides",EJ008,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones Diamante&prevReps=&prevKgs=,,
Flexiones Escapulares,Pino,Barras Paralelas,"En posición de plancha sobre las barras, mantén los brazos totalmente rectos. Junta tus escápulas dejando que el pecho baje un poco y luego empuja con fuerza para separarlas.",No dobles los codos. El movimiento es corto y nace solo de tus hombros.,4 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/a4ZCTpgTw7emfa4eVHAj.jpeg,Serrato anterior y Trapecio,EJ009,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones Escapulares&prevReps=&prevKgs=,,
Flexiones Inclinadas (manos en silla),Semilla,Silla o superficie elevada,Coloca las manos sobre una silla firme a la anchura de los hombros. Mantén el cuerpo en línea recta y baja el pecho hacia la silla doblando los codos. Empuja con fuerza para volver a subir.,Cuanto más baja sea la superficie donde apoyas las manos más difícil será. Empieza con algo alto y ve bajando conforme ganes fuerza.,3 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/tHDhwGpeBk4wZW6Mm0Wb.jpeg,"Pectorales, Tríceps, Deltoides",EJ010,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones Inclinadas (manos en silla)&prevReps=6-7-4-5&prevKgs=0-0-0-0,6-7-4-5,0-0-0-0
