Press de Banca con Barra,Semilla Gym,Banco plano + Barra,Acuestate en el banco plano con los pies firmes en el suelo. Agarra la barra a la anchura de los hombros. Baja la barra hasta tocar el pecho y empuja hacia arriba hasta extender los brazos.,Retrae las escapulas y saca pecho antes de desenganchar la barra. No rebotes en el pecho.,4 series de 8-10 reps,video,"Pectorales, Tricceps, Deltoides frontal"
Remo con Mancuerna,Semilla Gym,Banco plano + Mancuerna,Apoya una rodilla y una mano en el banco. Con la otra mano sujeta la mancuerna y tira hacia la cadera llevando el codo hacia atras. Baja con control.,Aprieta la espalda arriba durante 1 segundo. No gires el torso al tirar.,4 series de 10-12 reps por lado,video,"Dorsales, Romboides, Bicceps"
Press Militar con Mancuernas,Semilla Gym,Banco a 90° + Mancuernas,Sientate en el banco con respaldo vertical. Sube las mancuernas a la altura de los hombros con las palmas al frente. Empuja hacia arriba hasta extender los brazos y baja con control.,No arquees la espalda baja. Aprieta el abdomen durante todo el movimiento.,4 series de 8-10 reps,video,"Deltoides, Triceps, Trapecio"
Curl de Biceps con Mancuernas,Semilla Gym,Mancuernas,De pie con una mancuerna en cada mano y los brazos extendidos. Flexiona los codos subiendo las mancuernas hacia los hombros. Baja con control sin balancear el cuerpo.,Manten los codos pegados al torso. No uses impulso con la espalda.,3 series de 10-12 reps,video,Biceps
Extensión de Triceps en Polea,Semilla Gym,Polea alta + Barra recta,De pie frente a la polea alta. Sujeta la barra con las palmas hacia abajo. Extiende los brazos empujando hacia abajo hasta bloquear los codos. Regresa con control.,Manten los codos pegados al cuerpo y fijos. Solo mueve los antebrazos.,3 series de 10-12 reps,video,Triceps
Press Inclinado con Mancuernas,Semilla Gym,Banco inclinado 30-45° + Mancuernas,Acuestate en el banco inclinado. Sube las mancuernas a la altura del pecho con los codos abiertos. Empuja hacia arriba juntando ligeramente las mancuernas arriba. Baja con control.,Manten las escapulas retraidas. El angulo de 30° activa mas pecho superior sin sobrecargar el hombro.,4 series de 8-10 reps,video,"Pecho superior, Triceps, Deltoides frontal"
Jalón al Pecho en Polea,Semilla Gym,Polea alta + Barra ancha,Sientate en la maquina de jalón con los muslos fijos bajo los cojines. Agarra la barra ancha con las palmas al frente. Tira hacia el pecho superior llevando los codos hacia abajo y atras.,Saca pecho al tirar. No te inclines demasiado hacia atras. Controla el regreso.,4 series de 10-12 reps,video,"Dorsales, Biceps, Romboides"
Elevaciones Laterales con Mancuernas,Semilla Gym,Mancuernas,De pie con una mancuerna en cada mano a los lados. Sube los brazos lateralmente hasta la altura de los hombros manteniendo una ligera flexion de codos. Baja con control.,Usa peso ligero y control. Imagina que viertes agua de una jarra al subir.,3 series de 12-15 reps,video,Deltoides lateral
Curl Martillo con Mancuernas,Semilla Gym,Mancuernas,De pie con mancuernas a los lados y palmas viendose entre si (agarre neutro). Flexiona los codos subiendo las mancuernas sin girar las muñecas. Baja con control.,Manten los codos fijos. Este agarre trabaja mas el braquial y el antebrazo.,3 series de 10-12 reps,video,"Biceps, Braquial, Antebrazo"
Fondos en Maquina Asistida,Semilla Gym,Maquina de fondos asistidos,Sube a la maquina y apoya las rodillas en la plataforma. Sujeta las barras y baja el cuerpo doblando los codos hasta 90 grados. Empuja para subir.,Ajusta el contrapeso segun tu nivel. Conforme ganes fuerza reduce la asistencia.,3 series de 8-10 reps,video,"Triceps, Pecho inferior, Deltoides"
Press de Banca con Mancuernas,Semilla Gym,Banco plano + Mancuernas,Acuestate en el banco con una mancuerna en cada mano a la altura del pecho. Empuja hacia arriba extendiendo los brazos y baja con control hasta que los codos queden a 90 grados.,Las mancuernas permiten mayor rango de movimiento que la barra. Baja hasta sentir estiramiento en el pecho.,4 series de 8-10 reps,video,"Pectorales, Triceps, Deltoides frontal"
Remo en Maquina,Semilla Gym,Maquina de remo sentado,Sientate en la maquina con el pecho apoyado en el coji­n. Agarra las manijas y tira hacia atras apretando los omoplatos. Regresa con control.,Saca pecho y manten la espalda erguida. Aprieta la espalda 1 segundo al final.,4 series de 10-12 reps,video,"Dorsales, Romboides, Biceps"
Press Arnold con Mancuernas,Semilla Gym,Banco a 90° + Mancuernas,Sientate con las mancuernas frente al pecho y las palmas hacia ti. Empuja hacia arriba girando las palmas hacia afuera durante la subida. Regresa invirtiendo el giro.,El giro activa las tres cabezas del deltoides. Usa peso moderado para controlar el movimiento.,3 series de 10-12 reps,video,"Deltoides (anterior, lateral, posterior)"
Curl con Barra Z,Semilla Gym,Barra Z,De pie sujeta la barra Z con agarre supino en las curvas de la barra. Flexiona los codos subiendo la barra hacia los hombros. Baja con control.,La barra Z reduce la tensión en las muñecas. No balancees el cuerpo.,3 series de 10-12 reps,video,"Biceps, Antebrazo"
Press Frances con Mancuerna,Semilla Gym,Banco plano + Mancuerna,Acuestate en el banco con una mancuerna sujeta con ambas manos sobre la cabeza. Baja la mancuerna detras de la cabeza flexionando los codos. Extiende para subir.,Manten los codos apuntando al techo y fijos. Solo mueve los antebrazos.,3 series de 10-12 reps,video,Triceps
Sentadilla con Barra,Semilla Gym,Rack + Barra,Coloca la barra sobre los trapecios. Pies a la anchura de los hombros. Baja flexionando rodillas y cadera como si te sentaras. Manten la espalda recta y sube empujando con los talones.,Mira al frente. Las rodillas van en dirección a los pies. Baja al menos hasta paralelo.,4 series de 8-10 reps,video,"Cuadriceps, Glueos, Isquiotibiales"
Prensa de Piernas,Semilla Gym,Maquina prensa de piernas,Sientate en la maquina con los pies en la plataforma a la anchura de los hombros. Suelta los seguros y baja la plataforma flexionando las rodillas hasta 90 grados. Empuja para subir.,No bloquees completamente las rodillas arriba. Manten la espalda baja pegada al respaldo.,4 series de 10-12 reps,video,"Cuadriceps, Gluteos"
Curl Femoral en Maquina,Semilla Gym,Maquina curl femoral acostado,Acuestate boca abajo en la maquina con los tobillos bajo el cojin. Flexiona las rodillas llevando los talones hacia los gluteos. Baja con control.,No levantes la cadera del banco. Aprieta los isquiotibiales arriba 1 segundo.,4 series de 10-12 reps,video,Isquiotibiales
Extensiñon de Cuadriceps en Maquina,Semilla Gym,Maquina extensión de cuadriceps,Sientate en la maquina con los tobillos bajo el coji­n. Extiende las rodillas subiendo el peso hasta que las piernas queden rectas. Baja con control.,No uses impulso. Aprieta los cuadriceps arriba 1 segundo. Baja lento (3 segundos).,3 series de 12-15 reps,video,Cuadriceps
