🔒 Row ID,Nombre de la Rutina,Ejercicio 1,Ejercicio 2,Ejercicio 3,Ejercicio 4,Ejercico 5,Detalle equipo 1,Detalle equipo 2,Detalle equipo 3 ,detalle equipo 4 ,Detalle equipo 5,instrucciones 1,instruciones 2,instrucciones 3,instrucciones 4,instrucciones 5,Repeticiones 1.0,Repeticiones 2,Repeticiones 2.0,Repeticiones 3,Repeticiones 3.0,Repeticiones 4,Repeticiones 4.0,Repeticiones 5,Repeticiones 5.0,Consejo Pro 1,Consejo Pro 2,Consejo Pro 3,Consejo Pro 4,Consejo Pro 5,Músculos 1,Músculos 2,Músculos 3,Músculos 4,Músculos 5,Ejercicios sistemas,AreaDeTrabajo,Nivel,Enfoque,TodosEjercicioRtuina,TipoDisponibilidad,DiasSemana 1,DiasSemana 2,Dias A Mostrar,Repeticiones 1,Ejercicio 6,Repeticiones 6,Repeticiones 6.0,Músculos 6,RutaMaestría
h9MQNaKVRCW0jH9S0ieAEw,Semilla: Tren Superior A,Flexiones en Pared,Flexiones Inclinadas (manos en silla),Plancha en Rodillas,Remo con Liga (agarre neutro),Escapula Push-ups,Muro,Silla o superficie elevada,N/A,Liga,Barras Paralelas bajas,"De pie frente a una pared, apoya las manos a la altura de los hombros. Inclina el cuerpo, baja el pecho y empuja.",Coloca las manos sobre una silla firme a la anchura de los hombros. Mantén el cuerpo en línea recta y baja el pecho hacia la silla doblando los codos. Empuja con fuerza para volver a subir.,Apoya las manos en el suelo a la anchura de los hombros y las rodillas en el piso. Mantén el cuerpo en línea recta desde la cabeza hasta las rodillas apretando abdomen y glúteos.,"Sentado con las piernas extendida al frente, pasa la liga por la planta de tus pies y sujeta los extremos con las palmas viéndose entre sí. Tira hacia tu ombligo llevando los codos pegados al cuerpo y apretando la espalda.","En posición de plancha, hunde y separa los omóplatos sin doblar los codos.",3 series de 8-12 reps,3 series de 8-12 reps,3 series de 8-12 reps,3 series de 20-30 seg,3 series de 20-30 seg,3 series de 10-12 reps,3 series de 10-12 reps,3 series de 10-15 reps,3 series de 10-15 reps,"Cuanto más alejes los pies de la pared, más difícil será.",Cuanto más baja sea la superficie donde apoyas las manos más difícil será. Empieza con algo alto y ve bajando conforme ganes fuerza.,No dejes que la cadera se hunda ni se suba. Imagina que tu cuerpo es una tabla desde las rodillas hasta la cabeza.,Saca pecho al tirar y controla el regreso. No dejes que la liga te jale de golpe.,"Imagina que quieres empujar el suelo lejos de ti para separar las ""alitas"" de la espalda.","Pectorales, Tríceps, Deltoides","Pectorales, Tríceps, Deltoides","Core (Abdomen), Hombros","Espalda (Dorsales), Bíceps, Romboides","Serrato anterior, Trapecio, Romboides.",Vigor Corporal,false,Semilla,Tren Superior,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/1IJKDJkMawBgQQYi21yK.jpeg,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Lunes Jueves ,,,,,,
me6gXR.bTr2vfJoz9WY-bg,Semilla: Tren Superior B,Flexiones en Rodillas,Remo con Liga (agarre supino),Press de Hombro con Liga,Plancha Inclinada (manos en paralelas),Fondos Asistidos (pies en suelo),N/A,Liga,Barra para Ligas + Banda,Barras Paralelas bajas,Barras Paralelas bajas,Apoya las manos a la anchura de los hombros y las rodillas en el piso. Baja el pecho hasta casi tocar el suelo manteniendo el cuerpo alineado desde rodillas hasta cabeza. Empuja para subir.,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia arriba. Tira hacia tu ombligo apretando bíceps y espalda.,Pisa la liga con ambos pies (o sentado sobre la liga) a la anchura de los hombros. Sujeta los extremos a la altura de los hombros con las palmas al frente. Empuja hacia arriba extendiendo los brazos y baja con control.,Sujeta las barras con las manos y extiende el cuerpo en posición de plancha. Mantén el abdomen apretado y el cuerpo en línea recta desde la cabeza hasta los talones.,Sujeta las barras y mantén los pies apoyados en el suelo con las rodillas flexionadas. Baja el cuerpo doblando los codos hasta que los brazos formen 90 grados y sube empujando con fuerza.,3 series de 8-12 reps,3 series de 10-12 reps,3 series de 10-12 reps,3 series de 10-12 reps,3 series de 10-12 reps,3 series de 30-45 seg,3 series de 30-45 seg,3 series de 8-10 reps,3 series de 8-10 reps,Mantén los codos en forma de flecha hacia atrás y no hacia afuera. Aprieta el abdomen en todo momento.,Enfoca la contracción en los bíceps y la espalda baja. Mantén la espalda erguida durante todo el movimiento.,No arquees la espalda al empujar. Aprieta el abdomen para proteger la zona lumbar.,Empuja las barras con fuerza activando el serrato. No dejes que la cadera caiga ni se suba.,Usa los pies solo como apoyo. Intenta cargar cada vez más peso en los brazos conforme ganes fuerza.,"Pectorales, Tríceps, Deltoides","Bíceps, Espalda (Dorsales)","Deltoides, Tríceps","Core (Abdomen), Hombros, Serrato","Tríceps, Pecho inferior, Deltoides",Vigor Corporal,false,Semilla,Tren Superior,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/2oVqXZoDNCgFcmpCPmTZ.jpeg,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Lunes Jueves ,3 series de 8-12 reps,,,,,
LeZZWCUGT7muOpmZcw3KgA,Semilla: Tren Superior C,Flexiones Neutras (en paralelas),Escapula Push-ups,Remo con Liga (agarre prono),L-Sit Asistido (rodillas flexionadas),Fondos de Tríceps (en paralelas),Barras Paralelas bajas,Barras Paralelas bajas,Liga,Barras Paralelas bajas,Barras Paralelas bajas,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.","En posición de plancha, hunde y separa los omóplatos sin doblar los codos.",Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia abajo. Tira hacia tu ombligo apretando bíceps y espalda.,Siéntate entre las barras con las manos en las barras y los brazos rectos. Levanta la cadera del suelo con las rodillas flexionadas hacia el pecho.,Sujeta las barras con los brazos extendidos. Pies estirados al frente apoyados en el suelo. Baja la cadera doblando los codos hacia atrás y empuja para subir.,3 series de 8-12 reps,3 series de 10-15 reps,3 series de 10-15 reps,3 series de 10-12 reps,3 series de 10-12 reps,3 series de 15-20 seg,3 series de 15-20 seg,3 series de 10 reps,3 series de 10 reps,"Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).","Imagina que quieres empujar el suelo lejos de ti para separar las ""alitas"" de la espalda.",Aprieta los omóplatos al final del movimiento. Controla la fase de regreso sin dejarte jalar.,Bloquea los codos y empuja las barras hacia abajo con fuerza. Mantén los hombros lejos de las orejas.,No bajes demasiado si sientes tensión en el hombro frontal. Mantén los codos apuntando hacia atrás.,"Pecho, Tríceps, Deltoides frontal.","Serrato anterior, Trapecio, Romboides.","Trapecio, Deltoides posterior, Romboides","Abdominales, Tríceps, Flexores de cadera","Tríceps, Pecho inferior",Vigor Corporal,false,Semilla,Tren Superior,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YJYMLe0kHpPpAPWwhrwL.jpeg,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Lunes Jueves ,3 series de 8-12 reps,,,,,
yAw6.MVASCysQACNaPetXg,Semilla: Tren Inferior A,Sentadilla Normal,Puente de Glúteo,Zancada Reversa,Elevación de Talones (de pie),Sentadilla Sumo,N/A,N/A,N/A,N/A,N/A,"Pies a la anchura de los hombros. Baja la cadera como si fueras a sentarte en una silla, manteniendo la espalda recta y el peso en los talones. Sube con fuerza.",Acuéstate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo. Empuja la cadera hacia arriba apretando los glúteos con fuerza y baja con control.,De pie con los pies juntos. Da un paso largo hacia atrás con una pierna y baja la rodilla trasera casi hasta el suelo. Empuja con la pierna delantera para volver a la posición inicial.,De pie con los pies a la anchura de la cadera. Sube elevando los talones lo más alto posible apretando las pantorrillas. Baja con control.,Pies más abiertos que los hombros con las puntas hacia afuera. Baja la cadera manteniendo la espalda recta y las rodillas en dirección a los pies. Sube apretando glúteos.,4 series de 8-12 reps,3 series de 12-15 reps,3 series de 12-15 reps,3 series de 10 reps por pierna,3 series de 10 reps por pierna,3 series de 15-20 reps,3 series de 15-20 reps,3 series de 10-12 reps,3 series de 10-12 reps,Mantén la mirada al frente y asegúrate de que tus rodillas no se cierren hacia adentro al subir y vayan en direncion a tus pies,Aprieta los glúteos arriba durante 2 segundos antes de bajar. No arquees la espalda baja.,Mantén el torso erguido y la rodilla delantera alineada con el tobillo. No dejes que la rodilla pase la punta del pie.,Haz una pausa de 2 segundos arriba para máxima contracción. Puedes apoyarte en la pared para equilibrio.,Saca pecho y mantén el peso distribuido en toda la planta del pie. Baja hasta que los muslos queden paralelos al suelo.,Piernas (Cuádriceps) y Glúteos,"Glúteos, Isquiotibiales","Cuádriceps, Glúteos, Isquiotibiales",Pantorrillas (Gemelos y Sóleo),"Aductores, Glúteos, Cuádriceps",Vigor Corporal,false,Semilla,Tren Inferior,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/qc9pYY2wpZmyzoWFmzct.jpeg,Mas de 3 Dias,Martes Viernes,Martes Viernes,Martes Viernes,4 series de 8-12 reps,,,,,
qfnr.SXtRNKmZv-Jyr2JfA,Semilla: Tren Inferior B,Sentadilla con Pausa,Zancada Caminando,Puente de Glúteo a Una Pierna,Sentadilla Búlgara Asistida,Wall Sit (sentadilla en pared),N/A,N/A,N/A,Silla o superficie elevada,Muro,Realiza una sentadilla normal pero mantén la posición baja durante 3 segundos antes de subir. Mantén la espalda recta y el abdomen apretado.,Da un paso largo al frente y baja la rodilla trasera casi al suelo. Empuja con la pierna delantera y avanza con la otra pierna repitiendo el movimiento.,Acuéstate boca arriba con una rodilla flexionada y el pie en el suelo. Extiende la otra pierna hacia arriba. Empuja la cadera hacia arriba con la pierna apoyada.,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Apóyate en la pared si necesitas equilibrio.,Apoya la espalda contra la pared y baja hasta que tus muslos queden paralelos al suelo formando 90 grados con las rodillas. Mantén la posición.,3 series de 8-10 reps,3 series de 10 pasos por pierna,3 series de 10 pasos por pierna,3 series de 10 reps por pierna,3 series de 10 reps por pierna,3 series de 8 reps por pierna,3 series de 8 reps por pierna,3 series de 30-45 seg,3 series de 30-45 seg,La pausa elimina el impulso y obliga al músculo a trabajar más. No rebotes al subir.,Mantén el torso recto y la mirada al frente. Cada paso debe ser controlado sin perder el equilibrio.,Aprieta el glúteo arriba y mantén la cadera nivelada. No dejes que la cadera se incline hacia un lado.,Mantén el torso erguido y la rodilla delantera alineada con el pie. La pierna trasera solo sirve de apoyo.,Empuja la espalda baja contra la pared. No apoyes las manos en los muslos.,"Cuádriceps, Glúteos","Cuádriceps, Glúteos, Isquiotibiales","Glúteos, Isquiotibiales, Core","Cuádriceps, Glúteos","Cuádriceps, Glúteos",Vigor Corporal,,Semilla,Tren Inferior,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/f4DkZPhb4BwQciplvPbs.jpeg,Mas de 3 Dias,Martes Viernes,Martes Viernes,Martes Viernes,3 series de 8-10 reps,,,,,
IlWKalvcTQyxQLWgAUQ1ag,Semilla: Tren Inferior C,Sentadilla Cosaca Asistida,Step-Up (en silla baja),Peso Muerto a Una Pierna (sin peso),Zancada Lateral,Elevación de Talones a Una Pierna,Muro o poste para sujetarse,Silla baja o escalón,N/A,N/A,Muro para equilibrio,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta. Sujétate de la pared o un poste para mantener el equilibrio.,Coloca un pie sobre la silla y empuja con esa pierna para subir todo el cuerpo. Baja con control con la otra pierna.,De pie sobre una pierna. Inclina el torso hacia adelante mientras la pierna libre se extiende hacia atrás. Baja hasta que el torso quede paralelo al suelo y sube con control.,De pie con los pies juntos. Da un paso amplio hacia un lado flexionando esa rodilla mientras la otra pierna queda extendida. Empuja para regresar al centro.,De pie sobre una pierna apoyándote en la pared. Sube el talón lo más alto posible apretando la pantorrilla. Baja con control.,3 series de 6-8 reps por pierna,3 series de 10 reps por pierna,3 series de 10 reps por pierna,3 series de 8 reps por pierna,3 series de 8 reps por pierna,3 series de 10 reps por lado,3 series de 10 reps por lado,3 series de 12-15 reps por pierna,3 series de 12-15 reps por pierna,Mantén el talón de la pierna que se flexiona pegado al suelo. Ve bajando más conforme ganes flexibilidad.,Empuja solo con la pierna de arriba sin impulsarte con la de abajo. Mantén el torso erguido.,Mantén la espalda recta en todo momento. Mira un punto fijo en el suelo para mejor equilibrio.,Mantén el peso en el talón de la pierna que se flexiona. No dejes que la rodilla pase la punta del pie.,Haz pausa de 2 segundos arriba. Baja el talón completamente para rango completo.,"Aductores, Cuádriceps, Glúteos","Cuádriceps, Glúteos","Isquiotibiales, Glúteos, Core","Aductores, Cuádriceps, Glúteos",Pantorrillas (Gemelos y Sóleo),Vigor Corporal,,Semilla,Tren Inferior,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/K4fUGlRXyNzP9F9pexPq.jpeg,Mas de 3 Dias,Martes Viernes,Martes Viernes,Martes Viernes,3 series de 6-8 reps por pierna,,,,,
paSnOh0MQTOHc.Rac9bISg,Semilla: Cuerpo Completo A,Flexiones en Pared,Sentadilla Normal,Plancha en Rodillas,Puente de Glúteo,Remo con Liga (agarre neutro),Muro,N/A,N/A,N/A,Liga,"De pie frente a una pared, apoya las manos a la altura de los hombros. Inclina el cuerpo, baja el pecho y empuja.","Pies a la anchura de los hombros. Baja la cadera como si fueras a sentarte en una silla, manteniendo la espalda recta y el peso en los talones. Sube con fuerza.",Apoya las manos en el suelo a la anchura de los hombros y las rodillas en el piso. Mantén el cuerpo en línea recta desde la cabeza hasta las rodillas apretando abdomen y glúteos.,Acuéstate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo. Empuja la cadera hacia arriba apretando los glúteos con fuerza y baja con control.,"Sentado con las piernas extendida al frente, pasa la liga por la planta de tus pies y sujeta los extremos con las palmas viéndose entre sí. Tira hacia tu ombligo llevando los codos pegados al cuerpo y apretando la espalda.",3 series de 8-12 reps,4 series de 8-12 reps,4 series de 8-12 reps,3 series de 20-30 seg,3 series de 20-30 seg,3 series de 12-15 reps,3 series de 12-15 reps,3 series de 10-12 reps,3 series de 10-12 reps,"Cuanto más alejes los pies de la pared, más difícil será.",Mantén la mirada al frente y asegúrate de que tus rodillas no se cierren hacia adentro al subir y vayan en direncion a tus pies,No dejes que la cadera se hunda ni se suba. Imagina que tu cuerpo es una tabla desde las rodillas hasta la cabeza.,Aprieta los glúteos arriba durante 2 segundos antes de bajar. No arquees la espalda baja.,Saca pecho al tirar y controla el regreso. No dejes que la liga te jale de golpe.,"Pectorales, Tríceps, Deltoides",Piernas (Cuádriceps) y Glúteos,"Core (Abdomen), Hombros","Glúteos, Isquiotibiales","Espalda (Dorsales), Bíceps, Romboides",Vigor Corporal,false,Semilla,Cuerpo Completo,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/fs7sXKsTv0Ig9ghvWxGD.jpeg,3 Dias,Lunes Viernes,Miercoles,Lunes Viernes,,Elevación de Talones (de pie),3 series de 15-20 reps,3 series de 15-20 reps,Pantorrillas (Gemelos y Sóleo),
zNq9fjn2Rii-oHgKxza70Q,Semilla: Cuerpo Completo B,Flexiones en Rodillas,Zancada Reversa,Escapula Push-ups,Sentadilla Sumo,Fondos Asistidos (pies en suelo),N/A,N/A,Barras Paralelas bajas,N/A,Barras Paralelas bajas,Apoya las manos a la anchura de los hombros y las rodillas en el piso. Baja el pecho hasta casi tocar el suelo manteniendo el cuerpo alineado desde rodillas hasta cabeza. Empuja para subir.,De pie con los pies juntos. Da un paso largo hacia atrás con una pierna y baja la rodilla trasera casi hasta el suelo. Empuja con la pierna delantera para volver a la posición inicial.,"En posición de plancha, hunde y separa los omóplatos sin doblar los codos.",Pies más abiertos que los hombros con las puntas hacia afuera. Baja la cadera manteniendo la espalda recta y las rodillas en dirección a los pies. Sube apretando glúteos.,Sujeta las barras y mantén los pies apoyados en el suelo con las rodillas flexionadas. Baja el cuerpo doblando los codos hasta que los brazos formen 90 grados y sube empujando con fuerza.,3 series de 8-12 reps,3 series de 10 reps por pierna,3 series de 10 reps por pierna,3 series de 10-15 reps,3 series de 10-15 reps,3 series de 10-12 reps,3 series de 10-12 reps,3 series de 8-10 reps,3 series de 8-10 reps,Mantén los codos en forma de flecha hacia atrás y no hacia afuera. Aprieta el abdomen en todo momento.,Mantén el torso erguido y la rodilla delantera alineada con el tobillo. No dejes que la rodilla pase la punta del pie.,"Imagina que quieres empujar el suelo lejos de ti para separar las ""alitas"" de la espalda.",Saca pecho y mantén el peso distribuido en toda la planta del pie. Baja hasta que los muslos queden paralelos al suelo.,Usa los pies solo como apoyo. Intenta cargar cada vez más peso en los brazos conforme ganes fuerza.,"Pectorales, Tríceps, Deltoides","Cuádriceps, Glúteos, Isquiotibiales","Serrato anterior, Trapecio, Romboides.","Aductores, Glúteos, Cuádriceps","Tríceps, Pecho inferior, Deltoides",Vigor Corporal,,Semilla,Cuerpo Completo,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/JVsJllYuRdTRj6WHitEE.jpeg,3 Dias,Miercoles,Lunes Viernes,Miercoles,3 series de 8-12 reps,Elevación de Talones (de pie),3 series de 15-20 reps,3 series de 15-20 reps,Pantorrillas (Gemelos y Sóleo),
qkuVNNZTQNCk7JS-sUNJXg,Semilla: Cuerpo Completo C,Flexiones Neutras (en paralelas),Sentadilla con Pausa,L-Sit Asistido (rodillas flexionadas),Puente de Glúteo a Una Pierna,Remo con Liga (agarre supino),Barras Paralelas bajas,N/A,Barras Paralelas bajas,N/A,Liga,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.",Realiza una sentadilla normal pero mantén la posición baja durante 3 segundos antes de subir. Mantén la espalda recta y el abdomen apretado.,Siéntate entre las barras con las manos en las barras y los brazos rectos. Levanta la cadera del suelo con las rodillas flexionadas hacia el pecho.,Acuéstate boca arriba con una rodilla flexionada y el pie en el suelo. Extiende la otra pierna hacia arriba. Empuja la cadera hacia arriba con la pierna apoyada.,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia arriba. Tira hacia tu ombligo apretando bíceps y espalda.,3 series de 8-12 reps,3 series de 8-10 reps,3 series de 8-10 reps,3 series de 15-20 seg,3 series de 15-20 seg,3 series de 10 reps por pierna,3 series de 10 reps por pierna,3 series de 10-12 reps,3 series de 10-12 reps,"Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).",La pausa elimina el impulso y obliga al músculo a trabajar más. No rebotes al subir.,Bloquea los codos y empuja las barras hacia abajo con fuerza. Mantén los hombros lejos de las orejas.,Aprieta el glúteo arriba y mantén la cadera nivelada. No dejes que la cadera se incline hacia un lado.,Enfoca la contracción en los bíceps y la espalda baja. Mantén la espalda erguida durante todo el movimiento.,"Pecho, Tríceps, Deltoides frontal.","Cuádriceps, Glúteos","Abdominales, Tríceps, Flexores de cadera","Glúteos, Isquiotibiales, Core","Bíceps, Espalda (Dorsales)",Vigor Corporal,,Semilla,Cuerpo Completo,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/PAOMztsiX3ucMQ0533vZ.jpeg,3 Dias,,,,3 series de 8-12 reps,,,,,
8SGjeFkmSw2yIwGBnHGT2Q,Pino: Tren Superior A,Flexiones Escapulares,Remo Sentado con Liga,Plancha Inclinada,Pike Push-ups (en paralelas),Fondos en Paralelas,Barras Paralelas,Liga,"Barra baja, borde silla o cama",Barras Paralelas bajas,Barras Paralelas bajas,"En posición de plancha sobre las barras, mantén los brazos totalmente rectos. Junta tus escápulas dejando que el pecho baje un poco y luego empuja con fuerza para separarlas.",Siéntate en el suelo piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos. Tira hacia tu ombligo llevando los codos atrás y apretando la espalda.,Apoya las manos en la barra baja en posición de flexión. Mantén el cuerpo en línea recta y aprieta el abdomen con fuerza sin dejar que la cadera caiga.,Manos en las barras en posición de plancha. Sube la cadera formando una V invertida. Baja la cabeza entre las barras doblando los codos y empuja para subir.,Sujeta las barras con los brazos extendidos y las piernas estiradas al frente o cruzadas. Baja doblando los codos hasta 90 grados y empuja para subir.,4 series de 8-12 reps,4 series de 8-12 reps,4 series de 8-12 reps,3 series de 30-45 seg,3 series de 30-45 seg,4 series de 6-10 reps,4 series de 6-10 reps,4 series de 8-12 reps,4 series de 8-12 reps,No dobles los codos. El movimiento es corto y nace solo de tus hombros.,Mantén la espalda erguida y saca pecho. No permitas que la liga te encorve al regresar.,Imagina que quieres llevar el ombligo hacia tu columna para activar bien el core.,Cuanto más cerca estén los pies de las manos más difícil será. Mira hacia las barras al bajar.,Mantén los codos apuntando hacia atrás. Controla la bajada sin dejarte caer.,Serrato anterior y Trapecio,Espalda (Dorsales) y Brazos (Bíceps),Abdomen (Core) y Hombros,"Deltoides, Tríceps, Trapecio","Tríceps, Pecho inferior, Deltoides",Vigor Corporal,false,Pino,Tren Superior,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/lsxu6quQwFJ1c68lHFCu.jpeg,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Lunes Jueves ,4 series de 8-12 reps,,,,,
