Name,imagen,SkillPadre
Mi Primera Dominada- Semana 1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/J9LHGk8U7HpOSzsYofUh.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/8xFNggPCBSAQ7qHSLlwy.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/7GJ18wxA0ni2CMLkt9g2.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/p5yYNmkVsaKqRQGTXwLJ.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/fBEXn3098tF33MZOYUA6.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Tu6zfnyKDRgquAnjXeaH.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 7,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/A07dZhvSaoEApFZX98eJ.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/tKEeFl7Hg4XBp6FyCIz9.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/0iOuDW5kAjplUxUqL9xU.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/TmDMY1S3lu9Pj3QvMg12.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/B4Yxr3C7GPKB8FbzL7e7.jpeg,Mi Primera Dominada
Mi Primera Dominada- Semana 12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/KVNr0e8uPT20eMuQzHqb.jpeg,Mi Primera Dominada
