exercise_id,slug,nombre interno,nombre público actual,nombre público recomendado,estado,Sistema al que pertenece,Ruta o Rutas,Madera o punto de partida,modalidad,patrón de movimiento,objetivo,grupo muscular,equipo,espacio requerido,posición inicial,ejecución paso a paso,indicaciones técnicas,respiración,errores comunes,regresiones,progresiones,repeticiones,series,tiempo,descanso,tempo,duración estimada,criterios de finalización,advertencias,contraindicaciones,activo visual asociado,video asociado,miniatura asociada,pantalla donde aparece,componente donde aparece,archivo fuente,datos faltantes,contradicciones,estado visual
EJ003,elevación-de-talones-(de-pie),Elevación de Talones (de pie),Elevación de Talones (de pie),Elevación de Talones (de pie),pendiente,,,,,,,Pantorrillas (Gemelos y Sóleo),N/A,,,De pie con los pies a la anchura de la cadera. Sube elevando los talones lo más alto posible apretando las pantorrillas. Baja con control.,Haz una pausa de 2 segundos arriba para máxima contracción. Puedes apoyarte en la pared para equilibrio.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/N7EAWNGQgjOxvPxGOeIG.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ004,elevación-de-talones-a-una-pierna,Elevación de Talones a Una Pierna,Elevación de Talones a Una Pierna,Elevación de Talones a Una Pierna,pendiente,,,,,,,Pantorrillas (Gemelos y Sóleo),Muro para equilibrio,,,De pie sobre una pierna apoyándote en la pared. Sube el talón lo más alto posible apretando la pantorrilla. Baja con control.,Haz pausa de 2 segundos arriba. Baja el talón completamente para rango completo.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/axgXKFykoIh7c0yj4WsS.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ005,elevación-de-talones-con-pausa,Elevación de Talones con Pausa,Elevación de Talones con Pausa,Elevación de Talones con Pausa,pendiente,,,,,,,Pantorrillas (Gemelos y Sóleo),N/A,,,De pie con los pies a la anchura de la cadera. Sube los talones apretando las pantorrillas. Mantén arriba 3 segundos y baja lento (3 segundos).,El tempo lento aumenta el tiempo bajo tensión. Puedes hacerlo en el borde de un escalón para más rango.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/EW0zzYxKqeDaPohKiWgV.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ007,flexiones-archer-asistidas,Flexiones Archer Asistidas,Flexiones Archer Asistidas,Flexiones Archer Asistidas,pendiente,,,,,,,"Pectorales, Tríceps, Deltoides",N/A,,,En posición de flexión con las manos más abiertas que los hombros. Baja hacia un lado doblando un codo mientras el otro brazo se extiende. Empuja para subir y alterna.,El brazo extendido puede tener los dedos apoyados para asistencia. Baja el pecho hacia la mano que se flexiona.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/HZbJXFjekWV7Z1Qm6nld.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ008,flexiones-diamante,Flexiones Diamante,Flexiones Diamante,Flexiones Diamante,pendiente,,,,,,,"Tríceps, Pecho interior, Deltoides",N/A,,,Coloca las manos en el suelo formando un diamante con los pulgares e índices. Baja el pecho hasta las manos y empuja para subir manteniendo el cuerpo recto.,Mantén los codos pegados al cuerpo. Si es muy difícil hazlas en rodillas primero.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/9NCc4StYYg4nEPDvpawW.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ009,flexiones-escapulares,Flexiones Escapulares,Flexiones Escapulares,Flexiones Escapulares,pendiente,,,,,,,Serrato anterior y Trapecio,Barras Paralelas,,,"En posición de plancha sobre las barras, mantén los brazos totalmente rectos. Junta tus escápulas dejando que el pecho baje un poco y luego empuja con fuerza para separarlas.",No dobles los codos. El movimiento es corto y nace solo de tus hombros.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/a4ZCTpgTw7emfa4eVHAj.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ010,flexiones-inclinadas-(manos-en-silla),Flexiones Inclinadas (manos en silla),Flexiones Inclinadas (manos en silla),Flexiones Inclinadas (manos en silla),pendiente,,,,,,,"Pectorales, Tríceps, Deltoides",Silla o superficie elevada,,,Coloca las manos sobre una silla firme a la anchura de los hombros. Mantén el cuerpo en línea recta y baja el pecho hacia la silla doblando los codos. Empuja con fuerza para volver a subir.,Cuanto más baja sea la superficie donde apoyas las manos más difícil será. Empieza con algo alto y ve bajando conforme ganes fuerza.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/tHDhwGpeBk4wZW6Mm0Wb.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ011,flexiones-neutras,Flexiones Neutras,Flexiones Neutras,Flexiones Neutras,pendiente,,,,,,,"Pecho, Tríceps, Deltoides frontal.",Barras Paralelas bajas,,,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.","Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Eux7oj7ouXDOO1uahww8.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ012,flexiones-neutras-(en-paralelas),Flexiones Neutras (en paralelas),Flexiones Neutras (en paralelas),Flexiones Neutras (en paralelas),pendiente,,,,,,,"Pecho, Tríceps, Deltoides frontal.",Barras Paralelas bajas,,,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.","Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Y0IBpqNEqOyZbVoWzUhp.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ013,flexiones-en-paralelas-(rango-completo),Flexiones en Paralelas (rango completo),Flexiones en Paralelas (rango completo),Flexiones en Paralelas (rango completo),pendiente,,,,,,,"Pectorales, Tríceps, Deltoides",Barras Paralelas bajas,,,Manos en las barras en posición de plancha. Baja el pecho por debajo del nivel de las barras aprovechando el rango extra que dan las paralelas. Sube con fuerza.,Baja lento (3 segundos) y sube explosivo. El rango extra activa más fibras del pecho.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/CzWvDYSnl6CMl9ligkzl.png,,,,,Supabase: ejercicios_biblioteca,,,
