id,slug,nombre interno,nombre visible,término público recomendado,descripción corta,descripción completa,Sistema,Ruta,Madera,orden,día,fase,modalidad,lista ordenada de ejercicios,series,repeticiones,tiempo,descansos,tempo,duración estimada,equipo,requisitos previos,condición de desbloqueo,criterio de cumplimiento,evidencia solicitada,recompensa,insignia relacionada,clasificación relacionada,pantalla,componente,activo visual,fuente,contradicciones,información faltante
fba6348a-c05c-4be9-8157-dbd8e0da9abf,semilla:-tren-superior-a,Semilla: Tren Superior A,Semilla: Tren Superior A,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/1IJKDJkMawBgQQYi21yK.jpeg,Supabase: rutinas,,
32304565-a86f-4777-93c2-36e78f75d234,semilla:-tren-superior-b,Semilla: Tren Superior B,Semilla: Tren Superior B,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/2oVqXZoDNCgFcmpCPmTZ.jpeg,Supabase: rutinas,,
8f4bd3c3-f83d-41c1-b1f0-a362743b751e,semilla:-tren-superior-c,Semilla: Tren Superior C,Semilla: Tren Superior C,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YJYMLe0kHpPpAPWwhrwL.jpeg,Supabase: rutinas,,
bcae5874-07cb-4156-8619-d075e4d82fa3,semilla:-tren-inferior-a,Semilla: Tren Inferior A,Semilla: Tren Inferior A,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/qc9pYY2wpZmyzoWFmzct.jpeg,Supabase: rutinas,,
47c1711b-fef8-417b-af42-08934159dcad,semilla:-tren-inferior-b,Semilla: Tren Inferior B,Semilla: Tren Inferior B,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/f4DkZPhb4BwQciplvPbs.jpeg,Supabase: rutinas,,
9a27de10-685b-41d2-883d-61f711a91767,semilla:-tren-inferior-c,Semilla: Tren Inferior C,Semilla: Tren Inferior C,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/K4fUGlRXyNzP9F9pexPq.jpeg,Supabase: rutinas,,
3a9ab82a-696d-488f-aa88-55c795f4e76d,semilla:-cuerpo-completo-a,Semilla: Cuerpo Completo A,Semilla: Cuerpo Completo A,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[6 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/fs7sXKsTv0Ig9ghvWxGD.jpeg,Supabase: rutinas,,
ffa16cc0-5c17-4def-8501-34f1225f6c85,semilla:-cuerpo-completo-b,Semilla: Cuerpo Completo B,Semilla: Cuerpo Completo B,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[6 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/JVsJllYuRdTRj6WHitEE.jpeg,Supabase: rutinas,,
946d8726-9b33-42e9-a3d9-c85210121451,semilla:-cuerpo-completo-c,Semilla: Cuerpo Completo C,Semilla: Cuerpo Completo C,Misión Semilla,,,Vigor Corporal,,Semilla,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/PAOMztsiX3ucMQ0533vZ.jpeg,Supabase: rutinas,,
20dfaa00-29d0-4990-bc57-242eb4f497f0,pino:-tren-superior-a,Pino: Tren Superior A,Pino: Tren Superior A,Misión,,,Vigor Corporal,,Pino,,,,,[5 ejercicios asociados],,,,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/lsxu6quQwFJ1c68lHFCu.jpeg,Supabase: rutinas,,
